,article,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5
5.52489E+18,How Kotlin became our primary language for Android - UPTech Team,Spring Boot 1.4 released,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,Standing on the Shoulders of Giants - Built to Adapt,"Kotlin in Production - What works, Whats broken",I've had the chance to troll Donald Trump. But I didn't.
5.53082E+18,Mulheres são mais criativas que homens?,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,Study Shows Women and Minorities Are Punished for Speaking Up About Workplace Diversity,A importância dos filmes de mulherzinha - Capitolina,PICNIC,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files"
5.53375E+18,7 Questions to Ask Before Your Next Digital Transformation,The return of the machinery question,Grow fast or die slow: Focusing on customer success to drive growth,Finding The Meaning Of Artificial Intelligence At Google I/O,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",Imagine Discovering That Your Teaching Assistant Really Is a Robot
5.54531E+18,Tendências do Marketing de Conteúdo 2016,Google lança novos recursos para o Analytics,Que novas oportunidades poderemos criar com Blockchain? - CIO,Large CPGs are under attack by startups... and consumers are winning,A publicidade sem ROI acaba de morrer: adapte-se ou junte-se a ela - Meio & Mensagem,Facebook says its new AI is almost as good as humans at understanding context
5.5586E+18,AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%),AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,Practical VPC Design - AWS Startup Collection,AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),AWS Certified Solutions Architect Professional – Study Guide – Domain 7.0: Scalability and Elasticity (15%),AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing
5.56809E+18,"The future of machine learning: 5 trends to watch around algorithms, cloud, IoT, and big data - GeekWire","contentId
7078276984547732873    How Companies Are Using Machine Learning to Ge...
7078276984547732873    How Companies Are Using Machine Learning to Ge...
Name: title, dtype: object",Comprar roupas está ficando fora de moda no Reino Unido,"National Coming Out Day - Wikipedia, the free encyclopedia",What Apple's differential privacy means for your data and the future of machine learning,The White House Has Realized Artificial Intelligence Is Very Important
5.61925E+18,Google Cloud Platform for AWS Professionals,Generative Models,Google's Cloud Machine Learning service is now in public beta,The emerging Darwinian approach to analytics and augmented intelligence,Graph-powered Machine Learning at Google,Google believes its superior AI will be the key to its future
5.61927E+18,When Is the Singularity? Probably Not in Your Lifetime,Meet the man behind the rise of bots and our AI-driven future,The Internet of Things is looking for its VisiCalc,How to approach machine learning as a non-technical person,"E quando o cliente diz ""Não gostei""?",Hiri wants to fix the workplace email problem
5.64083E+18,Buscas on-line por carros têm expansão de 43% no 1º trimestre,"Consórcio: Venda de novas cotas cai 13,5% no 1º trimestre",Creating value in auto finance with vLendRight | Kevin Moseri,Honda e Softbank desenvolverão sistema de IA para ajudar os motoristas,The future of agriculture - Jim Womack visits a lean farm,How to Create an Exponential Mindset
5.65852E+18,ITA está oferecendo 10 cursos gratuitos a distância - Engenharia é:,Sua comunidade de Teste.,My Approach to Mobile Accessibility Testing - Ministry of Testing,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",Top 5 Android Testing Frameworks with Examples,Humanos seriam desse jeito se evoluíssem para sobreviver a acidentes de carro
5.65932E+18,A Neural Network that Dreams in Resumes - untapt blog,Finding The Meaning Of Artificial Intelligence At Google I/O,Tensorflow wins,Extreme Style Machines:Using Random Neural Networks to Generate Textures,Machine Learning for Designers,Imagine Discovering That Your Teaching Assistant Really Is a Robot
5.66929E+18,"Signs suggest that 101Hero, the $49 3D printer, was too good to be true",Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",Put a ring on it: three smart rings with plenty of beauty and brains,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,"STEMTera, uma protoboard com Arduino Uno embutido"
5.67298E+18,Gestão de pessoas? Só se for com a Zappos | Endeavor Brasil,Dicas para aumentar produtividade: 14 dicas incríveis.,How Green Was My Valley (1941),Game Of Thrones e suas lições de liderança | Endeavor Brasil,Netflix emociona com vídeo destacando personagens LGBT,"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog"
5.68108E+18,Building a Facebook Chat Bot with Node and Heroku,O futuro das interfaces: Chatbots - Tableless,Building immutable entities into Google Cloud Datastore,"As Artificial Intelligence Evolves, So Does Its Criminal Potential","Why Performance Matters, Part 3: Tolerance Management - Smashing Magazine",To Use Physical Or To Use Virtual: That is the container deployment question
5.68482E+18,Google's artificial intelligence is going in the wrong direction,Ray Kurzweil Predicts Three Technologies Will Define Our Future,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,Google Calendar for Android can now find meeting times that work for everyone
5.68828E+18,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",How to Think Exponentially and Better Predict the Future,"Facebook details its company-wide machine learning platform, FBLearner Flow",What exactly is a design culture? ,Task management app Asana raises $50M at a $600M valuation led by YC's Sam Altman,5 reasons your employees aren't sharing their knowledge
5.70187E+18,Apresentação da nova placa de desenvolvimento Arduino MKRZero -,Google Maps agora mostra se local tem entrada com acessibilidade | Google Discovery,15 Awesome Sublime Text Plugins For Web Development,Arduino clone is as small as an AA battery,Support your Gmail users more easily with revamped bounce messages and message headers,Medindo vazão utilizando sensor ultra-sônico de distância - Embarcados
5.71431E+18,Como Startups e Grandes Empresas podem colaborar para Inovar mais e melhor,Taco Bell chega ao Brasil no segundo semestre desse ano,Time Pressure: Behavioral Science Considerations for Mobile Marketing,Digital is all about the people - Chris Skinner's blog,Infographic Dutch Fintech Scene - HollandFintech.com,[Books] Biblioteca FIXE: Sugestões de Leitura
5.71487E+18,Android Studio 2.0 | Android Developers Blog,UE não dá sossego ao Google. Novo alvo? O AdSense,What's the Version of my Deployed Application? - DZone DevOps,Announcing updates to Google's Internet of Things platform: Android Things and Weave,Como o Facebook testa o impacto que a atualização dos apps têm na bateria dos smartphones,Automate Docker with the Remote API and Ruby
5.71979E+18,Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão,Nubank envia Pikachu para cliente que pediu desbloqueio de cartão e do Pokémon Go,"Bancos brasileiros aplicaram R$ 19,2 bilhões em esforços de TI em 2015",Starbucks tem mais dinheiro do cliente em cartões do que bancos,Mobile banking conquista o coração dos brasileiros,Startup usa algoritmo e rede social para aprovar empréstimos | EXAME.com
5.72601E+18,[Framework] Lean IT Governance,[Coursera] Introduction to Communication Science - University of Amsterdam | Coursera,[Tools] XMind Plus - Last Chance for students' 1$ gift,[Tools] See how the JIRA Portfolio team uses JIRA Portfolio,"[Techniques] Será que você está fazendo ""brainstorm"" da forma correta? - Blog Locaweb - Notícias sobre tecnologia, programação e muito mais.",Onde a tecnologia e o cuidado se encontram? - Saúde Business
5.72886E+18,"New functional programming language can generate C, Python code for apps",The Skills You'll Need and the Salary You Can Expect as a Data Scientist,Million Song Dataset | scaling MIR research,The new 64-bit Orange Pi is a quad-core computer for $20,Elastic Stack 5.0.0 Released,"Pinterest acquires the team behind Fleksy, a custom iOS and Android keyboard"
5.78793E+18,Ouça a música criada pela inteligência artificial do Google | Google Discovery,Presenting to the Boss(es) | Pluralsight,Aplicações da Inteligência artificial | Endeavor Brasil,YouTube's New Messenger Means You'll Never Have to Leave YouTube,"Google Duo, aplicativo de chamadas em vídeo | Google Discovery",Support your Gmail users more easily with revamped bounce messages and message headers
5.79528E+18,Microsoft's Open Source Love Affair Reaches New Heights,Cognitive Services-Intelligence Applications | Microsoft Azure,What DeepMind brings to Alphabet,Deck describing how MSFT plans to use Linkedin,Microsoft's new online certification program kicks off with data science specialization | ZDNet,AI Revolution 101 - AI Revolution
5.807E+18,[Teste] Quer saber como está seu português? - Runrun.it Blog,Dicionário Priberam da Língua Portuguesa,Write Like You Talk,Futuro do mercado financeiro é tema de evento da Original Devs - Startupi,Number26 raises another $40 million for its vision for the future of banking,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs
5.81673E+18,Bot Design Patterns,Cubr,I Peeked Into My Node_Modules Directory And You Won't Believe What Happened Next - friendship .js,Torus,Joel on Software,The Business Case for Progressive Web Apps
5.82221E+18,Study Shows Women and Minorities Are Punished for Speaking Up About Workplace Diversity,Google HR chief Laszlo Bock leaving to launch startup,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,"If women in tech stop apologizing, we might just be able to shut the sexist shit down. - Athena Talks",Mulheres são mais criativas que homens?,Globant Acquires L4 to Strengthen its Lead Position in the Digital Services Space
5.83148E+18,Google Unveiled A Partnership With Levi's To Create Smart Clothing,55 fornecedores de TI que apresentarão novidades no Ciab 2016,Time Pressure: Behavioral Science Considerations for Mobile Marketing,Samsung se alia a bancos para lançar pagamento por celular no Brasil,Hero unveils a new home gadget to help you track and dispense pills,1% das empresas dominam 94% das receitas na App Store
5.84219E+18,3 Pillars of the Most Successful Tech Products,The gig economy as a driver of innovation,Task management app Asana raises $50M at a $600M valuation led by YC's Sam Altman,Taco Bell chega ao Brasil no segundo semestre desse ano,Introducing JQL: A Query Language for Analytics,Portal Mercado & Consumo
5.84336E+18,ClienteSA - Gente - Empatia e tecnologia,Amazon has a huge opportunity in grocery delivery,Former Google career coach shares a visual trick for figuring out what to do with your life,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",Lean IT is all about people - o Lean na TI é focado em pessoas,Para entender o Dia Internacional contra a Homofobia
